"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"Bond Market Prediction using an Ensemble of Neural Networks","","Parekh, Bhagya; Shah, Naineel; Mehta, Rushabh; Shah, Harshil","International Journal of Computer Applications","Undefined","Foundation of Computer Science, 244 5th Avenue, # 1526, New York, NY 10001, USA India","82","4","2013-01-01","2013","","","","","0975-8887","","ENG","The characteristics of a successful financial forecasting system are the exploitation of inefficiencies of a given market and the precise application to that market. Overwhelming evidence indicates that opportunities exist for consistent positive returns over a given period of time. This project aims to provide means for the yield curve projection of government bonds. An ensemble of networks such as back propagation, radial basis function, linear regression, is used to predict the yield. The yield is forecasted using technical analysis using historical data and the output is tested for accuracy and accordingly assigned weights. Using the ensemble of neural networks, accuracy has been tried to be maximized and offer near to actual prediction. Using the yield curve, the investor can assess not only the yield of that bond, but can also the interest rates, and hence, has a very useful tool in his hand for investment purpose, thus making decisions about whether to invest or not , and if invest then when to invest. The yield curve prediction not only provides the investor a tool to make investment decisions in bond market, but it also serves as a tool to gauge the macroeconomic conditions of the country and hence predict the movement in various other markets as well, and hence make investment decisions accordingly.","https://www.proquest.com/docview/1475549637?accountid=12870&bdid=124553&_bd=vK3yFnLw639XUHRVxj76ErP6JU4%3D","https://doi.org/10.5120/14105-2144"
"Re‐Investigating the UIP Hypothesis: Recent Evidence From BRICS Economies","","Bhatia, Madhur","Economic Notes","Scholarly Journals","","54","1","2025-02-01","Feb 2025","","","","03915026","","","ENG","The study re‐investigates the existence of the Uncovered interest parity (UIP) hypothesis and substantially adds to the literature by offering the most recent evidence during the period from 2000 to 2022 from developing and emerging economies. The study further augments the literature by extending the standard UIP hypothesis to account for the monetary policy stance and risk premium. The estimates of nonlinear autoregressive distributed lag (NARDL) and component generalised autoregressive conditional heteroscedasticity (C‐GARCH) show that the UIP hypothesis does not exist in any of the BRICS economies. Nevertheless, after accounting for the risk premium and monetary policy stance using inflation levels, the interest rate differential significantly and positively influences the expected changes in the spot exchange rates. This indicates three important aspects: first, the necessity of risk premium to make up for the higher risk that comes with holding the foreign bond for the benefit of domestic investors. Second that the UIP puzzle does not hold, such that higher interest differential depreciates the domestic currency. Third, the analysis underscores the substantial and direct impact of US inflation level, particularly for Brazil, Russia and India, in determining the changes in the spot exchange rate. These insights hold crucial implications for policymakers and regulators.","https://www.proquest.com/docview/3170632976?accountid=12870&bdid=124553&_bd=C1fruDAM9Em0O7bf4BY1Bx%2FND48%3D","https://doi.org/10.1111/ecno.70002"
"Can Ensemble Machine Learning Methods Predict Stock Returns for Indian Banks Using Technical Indicators?","","Mohapatra, Sabyasachi; Mohapatra, Sabyasachi; Mukherjee, Rohan; Roy, Arindam; Sengupta, Anirban; Puniyani, Amit","Journal of Risk and Financial Management","Scholarly Journals","","15","8","2022-01-01","2022","350","","","19118066","","","ENG","This paper develops ensemble machine learning models (XGBoost, Gradient Boosting, and AdaBoost in addition to Random Forest) for predicting stock returns of Indian banks using technical indicators. These indicators are based on three broad categories of technical analysis: Price, Volume, and Turnover. Various error metrics like Mean Absolute Error (MAE), Mean Squared Error (MSE), Mean Absolute Percentage Error (MAPE), Root-Mean-Squared-Error (RMSE) have been used to check the performance of the models. Results show that the XGBoost algorithm performs best among the four ensemble models. The mean of absolute error and the root-mean-square -error vary around 3–5%. The feature importance plots generated by the models depict the importance of the variables in predicting the output. The proposed machine learning models help traders, investors, as well as portfolio managers, better predict the stock market trends and, in turn, the returns, particularly in banking stocks minimizing their sole dependency on macroeconomic factors. The techniques further assist the market participants in pre-empting any price-volume action across stocks irrespective of their size, liquidity, or past turnover. Finally, the techniques are incredibly robust and display a strong capability in predicting trend forecasts, particularly with any large deviations.","https://www.proquest.com/docview/2706209407?accountid=12870&bdid=124553&_bd=WFcSgQy24BH%2BApq0H9BZwfg7w3M%3D","https://doi.org/10.3390/jrfm15080350"
"Financial conditions, macroeconomic factors and disaggregated bond excess returns","","Fricke, Christoph; Menkhoff, Lukas","Journal of banking and finance","Undefined","","58","","2015-09-01","Sep 2015","80","94","80-94","0378-4266","0378-4266","","ENG","Bond excess returns can be predicted by macro factors, however, large parts remain still unexplained. We apply a novel term structure model to decompose bond excess returns into expected excess returns (risk premia) and the innovation part. In order to explore these risk premia and innovations, we complement macro variables by financial condition variables as possible determinants of bond excess returns. We find that the expected part of bond excess returns is driven by macro factors, whereas innovations seem to be mainly influenced by financial conditions, before and after the financial crisis. Thus, financial conditions, such as financial stress, deserve attention when analyzing bond excess returns. All rights reserved, Elsevier","https://www.proquest.com/docview/1718086907?accountid=12870&bdid=124553&_bd=uPBVa%2Fj%2FedutNTRWNircNgdxYyU%3D",""
"Forecasting stock prices changes using long-short term memory neural network with symbolic genetic programming","","Li, Qi; Kamaruddin, Norshaliza; Yuhaniz, Siti Sophiayati; Al-Jaifi, Hamdan Amer Ali","Scientific Reports (Nature Publisher Group)","Scholarly Journals","","14","1","2024-01-01","2024","422","","422","20452322","","","ENG","This study introduces an augmented Long-Short Term Memory (LSTM) neural network architecture, integrating Symbolic Genetic Programming (SGP), with the objective of forecasting cross-sectional price returns across a comprehensive dataset comprising 4500 listed stocks in the Chinese market over the period from 2014 to 2022. Using the S&P Alpha Pool Dataset for China as basic input, this architecture incorporates data augmentation and feature extraction techniques. The result of this study demonstrates significant improvements in Rank Information coefficient (Rank IC) and IC information ratio (ICIR) by 1128% and 5360% respectively when it is applied to fundamental indicators. For technical indicators, the hybrid model achieves a 206% increase in Rank IC and an impressive surge of 2752% in ICIR. Furthermore, the proposed hybrid SGP-LSTM model outperforms major Chinese stock indexes, generating average annualized excess returns of 31.00%, 24.48%, and 16.38% compared to the CSI 300 index, CSI 500 index, and the average portfolio, respectively. These findings highlight the effectiveness of SGP-LSTM model in improving the accuracy of cross-sectional stock return predictions and provide valuable insights for fund managers, traders, and financial analysts.","https://www.proquest.com/docview/2909358036?accountid=12870&bdid=124553&_bd=WZ7FetaUUEh5JWoAtH2rjvBowdo%3D","https://doi.org/10.1038/s41598-023-50783-0"
"LSTM–GARCH Hybrid Model for the Prediction of Volatility in Cryptocurrency Portfolios","","","Computational Economics","Scholarly Journals","","63","4","2024-04-01","Apr 2024","1511","1542","1511-1542","09277099","","","ENG","In the present work, the volatility of the leading cryptocurrencies is predicted through generalised autoregressive conditional heteroskedasticity (GARCH) models, multilayer perceptron (MLP), long short-term memory (LSTM), and hybrid models of the type LSTM and GARCH, where parameters of the GARCH family are included as features of LSTM models. The study period covered the scenario of the World Health Organization pandemic declaration around March 2020 at hourly frequency. We have found that the different variants of deep neural network models outperform those of the GARCH family in the sense of the hetorerocedastic error, and absolute and squared error (HSE). Under the sharpe ratio, the volatility forecasting of a uniform portfolio at long horizons systematically outperforms the stablecoin Tether, which is considered here as the risk-free asset. Also, including transaction volume helps reduce the value at risk or loss probability for the uniform portfolio. Moreover, in a minimum variance portfolio, it is observed that before the pandemic declaration, a large proportion of the capital was allocated to bitcoin (BTC). In contrast, after March 2020, the portfolio is more diversified with short positions for BTC. Moreover, the MLP models give the best predictive results, although not statistically different in accuracy compared to the LSTM and LSTM–GARCH versions under the Diebold–Mariano test. In sum, MLP models outperform most stylised financial models and are less computationally expensive than more complex neural networks. Therefore, simple learning models are suggested in highly non-linear time series volatility forecasts as it is the cryptocurrency market.","https://www.proquest.com/docview/3042256280?accountid=12870&bdid=124553&_bd=QSZ2RYPlhcQeKLSDUbAKymhyj44%3D","https://doi.org/10.1007/s10614-023-10373-8"
"Neural Ordinary Differential Equation Networks for Fintech Applications Using Internet of Things","","Li, Jiacheng; Chen, Wei; Liu, Yican; Yang, Junmei; Zeng, Delu; Zhou, Zhiheng","IEEE Internet of Things Journal","Scholarly Journals","","11","12","2024-01-01","2024","21763","","21763-21772","23274662","","","ENG","The Internet of Things (IoT) technology is becoming increasingly pivotal in the financial services sector, with a growing number of algorithms being employed in high-frequency trading. High-frequency prediction in financial time series prediction presents a promising avenue of research. From convolutional neural networks to recurrent neural networks, deep learning have demonstrated exceptional capabilities in capturing the nonlinear characteristics of stock markets, thereby achieving high performance in stock index prediction. In this article, we employ ODE-LSTM model for high-frequency price forecasting, predicting stock price data across various time scales, including 1-, 5-, and 30-min frequencies. This approach introduces a novel concept, wherein the long short-term memory (LSTM) model is integrated with Neural ordinary differential equations (ODEs) to manage the hidden state and augment model interpretability. Over the course of 7 months, we achieved a 41.79% excess return on a simulated trading platform, with a daily average excess return of 0.30%, showcasing the commendable performance of our model and strategy.","https://www.proquest.com/docview/3065466036?accountid=12870&bdid=124553&_bd=MDNQ3wY8OHtcv3rHLVl4F%2BZ8FUI%3D","https://doi.org/10.1109/JIOT.2024.3376748"
"Economic Evaluation and Risk Premium Estimation of Rainfed Soybean under Various Planting Practices in a Semi-Humid Drought-Prone Region of Northwest China","","Liao, Zhenqi; Shengzhao Pei; Bai, Zhentao; Lai, Zhenlin; Wen, Lei; Zhang, Fucang; Li, Zhijun; Fan, Junliang","Agronomy","Scholarly Journals","","13","11","2023-01-01","2023","2840","","","20734395","","","ENG","Economic benefits and risk premiums significantly affect the production system decision making of farmers and government departments. This study evaluated the economic feasibility and estimated the risk premium of 12 rainfed soybean production systems with various planting densities, fertilization rates and planting patterns by considering the impact of soybean price fluctuation. There were two planting densities (D1: 160,000 plants ha−1 and D2: 320,000 plants ha−1), two fertilization rates (F1: 20 kg ha−1 N, 30 kg ha−1 P, 30 kg ha−1 K; F2: 40 kg ha−1 N, 60 kg ha−1 P, 60 kg ha−1 K) and three planting patterns (F+W0: flat cultivation with no irrigation; R+W0: plastic-mulched ridge-furrow cultivation (PMRF) with no irrigation; R+W1: PMRF with supplemental irrigation of 30 mm at the pod-filling stage). Based on the two-year (2019–2020) field data in a semi-humid drought-prone region of northwest China and soybean price fluctuation from January 2014 to June 2021, the net income (NI) was calculated by considering the impact of soybean price fluctuation and assuming constant soybean production costs. The net present value (NPV) method and the stochastic efficiency with respect to a function (SERF) method were used to evaluate the profitability of protective alternatives and the risk of these alternatives. The results showed that the 12 proposed soybean production systems were economically feasible. Reducing the fertilization rate reduced the input costs, but it did not necessarily result in a decrease in soybean yield and NI. The payback period of all production systems was within two years for farmers investing through loans. High-fertilizer and high-density production systems made personal investment obtain the highest economic benefit in this study, which was not the best investment strategy from the perspective of production-to-investment ratio and environmental protection departments. The preferences of farmers with various risk aversion and environmental protection departments in terms of risk premium were also proposed. The economic and risk assessment framework of this study can enhance the understanding of the adjustment of production systems from different perspectives, and provide strategies for promoting the protection of economic, environmental and socially sustainable agricultural systems.","https://www.proquest.com/docview/2892941013?accountid=12870&bdid=124553&_bd=D1KKKyGf6sDKuQtjLJsjI1tDzBg%3D","https://doi.org/10.3390/agronomy13112840"
"A dynamic target volatility strategy for asset allocation using artificial neural networks","","Kim, Youngmin; Enke, David","The Engineering Economist","Scholarly Journals","","63","4","2018-10-01","Oct/Dec 2018","273","","273-290","0013791X","","","ENG","A challenge to developing data-driven approaches in finance and trading is the limited availability of data because periods of instability, such as during financial market crises, are relatively rare. This study applies a stability-oriented approach (SOA) based on statistical tests to compare data for the current period to a past set of data for a stable period, providing higher reliability due to a more abundant source of data. Based on an SOA, this study uses an artificial neural network (ANN), which is one of the commonly applied machine learning algorithms, for simultaneously forecasting the volatility and classifying the level of market stability. In addition, this study develops a dynamic target volatility strategy for asset allocation using an ANN to enhance the ability of a target volatility strategy that is established for automatically allocating capital between a risky asset and a risk-free cash position. In order to examine the impact of the proposed strategy, the results are compared to the buy-and-hold strategy, the static asset allocation strategy, and the conventional target volatility strategy using different volatility forecasting methodologies. An empirical case study of the proposed strategy is simulated in both the Korean and U.S. stock markets.","https://www.proquest.com/docview/2203235064?accountid=12870&bdid=124553&_bd=N8%2BvcCoft%2FShOO2tEeS7uYZrmMQ%3D","https://doi.org/10.1080/0013791X.2018.1461287"
"Pricing Climate Change Exposure","","Sautner, Zacharias; van Lent, Laurence; Vilkov, Grigory; Zhang, Ruishen","Management Science","Scholarly Journals","","69","12","2023-12-01","Dec 2023","7540","","","00251909","","","ENG","We estimate the risk premium for firm-level climate change exposure among S&P 500 stocks and its time-series evolution between 2005 to 2020. Exposure reflects the attention paid by market participants in earnings calls to a firm's climate-related risks and opportunities. When extracted from realized returns, the unconditional risk premium is insignificant but exhibits a period with a positive risk premium before the financial crisis and a steady increase thereafter. Forward-looking expected return proxies deliver an unconditionally positive risk premium with maximum values of 0.5%–1% p.a., depending on the proxy, between 2011 and 2014. The risk premium has been lower since 2015, especially when the expected return proxy explicitly accounts for the higher opportunities and lower crash risks that characterize high-exposure stocks. This finding arises as the priced part of the risk premium primarily originates from uncertainty about climate-related upside opportunities. In the time series, the risk premium is negatively associated with green innovation; Big Three holdings; and environmental, social, and governance fund flows and positively associated with climate change adaptation programs.","https://www.proquest.com/docview/2903932737?accountid=12870&bdid=124553&_bd=%2FMy0BtoEixX%2Bnsk0v3jE6s%2FPvZo%3D","https://doi.org/10.1287/mnsc.2023.4686"
"Monetary base and federal government debt in the long‐run: A non‐linear analysis","","Haydory Akbar Ahmed","Bulletin of Economic Research","Scholarly Journals","","72","2","2020-04-01","Apr 2020","167","184","167-184","03073378","","","ENG","Government bonds are usually traded between the financial institutions and the Fed during the open market operations. These operations impact the bank reserves, subsequently influencing the monetary base. The monetary base and government bonds may portray a common trend and government debt could potentially bind the central bank to debt monetization. This paper, using monthly data on federal government debt and the monetary base from 1947:1 to 2018:10, investigates the presence of a long‐run equilibrium relationship between the two variables and as to how the long‐run equilibrium relationship vary in the short‐run. Threshold cointegration tests find evidence of a long‐run equilibrium relationship. Estimates of the threshold vector error‐correction model find statistically significant evidence of contraction in the monetary base growth in the short‐run in regime 1. In regime 2, the growth in the monetary base does not adjust to accommodate faster government debt growth. These estimates find no evidence of debt monetization or otherwise in either of the regimes in the United States. The Fed, by reducing the monetary base, perhaps focuses more on the inflation target. The findings also suggest a potential scenario where the Fed and the fiscal authority are not conjoined with each other in their operations.","https://www.proquest.com/docview/2394781333?accountid=12870&bdid=124553&_bd=TDu69gRjk7%2BEQ9hIb3m3YUFNiWM%3D","https://doi.org/10.1111/boer.12216"
"Probabilistic forecasts of volatility and its risk premia","","Maneesoonthorn, W; Martin, G M; Forbes, C S; Grose, S D","Journal of econometrics","Undefined","","171","2","2012-12-01","Dec 2012","217","236","217-236","0304-4076","0304-4076","","ENG","The object of this paper is to produce distributional forecasts of asset price volatility and its associated risk premia using a non-linear state space approach. Option and spot market information on the latent variance process is captured by using dual 'model-free' variance measures to define a bivariate observation equation in the state space model. The premium for variance diffusive risk is defined as linear in the latent variance (in the usual fashion) whilst the premium for variance jump risk is specified as a conditionally deterministic dynamic process, driven by a function of past measurements. The inferential approach adopted is Bayesian, implemented via a Markov chain Monte Carlo algorithm that caters for the multiple sources of non-linearity in the model and for the bivariate measure. The method is applied to spot and option price data on the S&P500 index from 1999 to 2008, with conclusions drawn about investors' required compensation for variance risk during the recent financial turmoil. The accuracy of the probabilistic forecasts of the observable variance measures is demonstrated, and compared with that of forecasts yielded by alternative methods. To illustrate the benefits of the approach, it is used to produce forecasts of prices of derivatives on volatility itself. In addition, the posterior distribution is augmented by information on daily returns to produce value at risk predictions. Linking the variance risk premia to the risk aversion parameter in a representative agent model, probabilistic forecasts of (approximate) relative risk aversion are also produced. All rights reserved, Elsevier","https://www.proquest.com/docview/1171850023?accountid=12870&bdid=124553&_bd=YW1qW67anj%2BwRa1mH%2BD5r96n5Mk%3D","https://doi.org/10.1016/j.jeconom.2012.06.006"
"Experimental Evidence on Socioeconomic Differences in Risk‐Taking and Risk Premiums","","Li, Zheng","Economic Record","Scholarly Journals","","96","313","2020-06-01","Jun 2020","140","152","140-152","00130249","","","ENG","Using a route choice experiment with embedded travel time variability, this study empirically estimates car commuters’ risk attitudes and taste preferences within a nonlinear mixed logit model. In addition to the identified overall risk‐taking behaviour, we find that risk attitudes covary with some sociodemographic characteristics, that is, older commuters are more risk‐taking than young ones and higher‐income commuters are less risk‐taking than low‐income ones. The implications of accounting for systematic risk attitude heterogeneity for valuing travellers’ willingness to pay for travel time improvement are also discussed.","https://www.proquest.com/docview/2410603366?accountid=12870&bdid=124553&_bd=s3kAIN9d4wrz3J%2BlxOSu%2FhKezDI%3D","https://doi.org/10.1111/1475-4932.12544"
"Do Forecast Errors or Term Premia Really Make the Difference Between Long and Short Rates?","","Startz, Richard","Journal of Financial Economics","Scholarly Journals","","10","3","1982-11-01","Nov 1982","323","","323","0304405X","","","ENG","Forward rates in the term structure of interest include predictions of future spot rates as well as, possibly, term premia.  Realized spot rates include forecasted spot rates as well as forecast errors.  Under rational expectations, forecast errors are not predictable.  By forecasting spot rates utilizing publicly available information, bounds on the variation of forecast errors and term premia are obtained.  For one-month treasury bill rates, one- to two-thirds of the variation in the difference between forward rates and realized spot rates is a result of variation in term premia.  The evidence reveals something of the potential value of economic analysis in the presence of efficient financial markets.  A planner interested in future short rates would be wise not to take today's implied forward rate as an estimator.  Concurrent with the large variation in the premium, it is observed that typical market forecasting errors are much smaller than had been previously thought.  For forecasting long rates into the relatively near future, simple use of the term structure is quite reasonable.  For longer-term forecasts, attention to changes in the market premium is essential.","https://www.proquest.com/docview/231764219?accountid=12870&bdid=124553&_bd=FQcTeb34PnTKcy1P%2B6cT%2BAGaaGk%3D",""
"Baltic Dry Index Estimation With NARX Neural Network Model","","Kılınç, Gamze; Kocabıyık, Turan; Karaatlı, Meltem","Ekonomika","Scholarly Journals","","102","1","2023-01-01","2023","60","80","60-80","13921258","","","ENG","Abstract. BDI is a global trade indicator followed by those interested in maritime trade. But it has volatility, seasonality, and uncertain cyclicality. For this reason, in this study, the BDI has been estimated to provide preliminary information to those interested in maritime trade. NARX Neural Network which performs successfully in complex and nonlinear real-life problems is used. In addition, the NARX neural network model has not been found in a previous study used for BDI estimation. Eleven independent variables are used in this study, what increases the predictive power. Independent variables are Bloomberg Commodities Index (BCOM), Twitter-Based Economic Uncertainty Index (TEU), Twitter-Based Market Uncertainty Index (TMU), S&P 500 Index, MSCI World Index, €/$ Parity, VIX (CBOE), US 10-Year Bond Yield (%), Brent Oil (USD/Barrel), Economic Uncertainty Index and World Trade Volume (USD Billion). The Twitter-Based Economic Uncertainty Index (TEU) and Twitter-Based Market Uncertainty Index (TMU), which were not used before in BDI estimation studies, were included in the analysis and contributed to the literature. The data set contains daily data for the period 9.07.2012-31.08.2020. 11-day estimate values covering 1.09.2020-15.09.2020 are calculated. MAPE, MAE and RMSE performance criteria were calculated for the estimation values. Value of MAPE (2.96%), value of MAE (36.6%) and value of RMSE (46.68) were obtained. As a result, the estimate values were compared with the actual values.","https://www.proquest.com/docview/2834503792?accountid=12870&bdid=124553&_bd=46vJAqy3x2K3ImYd%2BJgV6oxHEbs%3D","https://doi.org/10.15388/Ekon.2023.102.1.4"
"Statistical actuarial estimation of the Capitation Payment Unit from copula functions and deep learning: historical comparability analysis for the Colombian health system, 2015–2021","","Espinosa, Oscar; Bejarano, Valeria; Ramos, Jeferson; Martínez, Boris","Health Economics Review","Scholarly Journals","","13","1","2023-12-01","Dec 2023","15","","15","21911991","","","ENG","The Capitation Payment Unit (CPU) financing mechanism constitutes more than 70% of health spending in Colombia, with a budget allocation of close to 60 trillion Colombian pesos for the year 2022 (approximately 15.7 billion US dollars). This article estimates actuarially, using modern techniques, the CPU for the contributory regime of the General System of Social Security in Health in Colombia, and compares it with what is estimated by the Ministry of Health and Social Protection. Using freely available information systems, by means of statistical copulas functions and artificial neural networks, pure risk premiums are calculated between 2015 and 2021. The study concludes that the weights by risk category are systematically different, showing historical pure premiums surpluses in the group of 0–1 years and deficits (for the regions normal and cities) in the groups over 54 years of age.","https://www.proquest.com/docview/2779575049?accountid=12870&bdid=124553&_bd=bepU%2B4wnXICDukKV%2Btxz0SVMUT4%3D","https://doi.org/10.1186/s13561-022-00416-5"
"Option-Based Estimation of the Price of Coskewness and Cokurtosis Risk","","Christoffersen, Peter; Fournier, Mathieu; Jacobs, Kris; Karoui, Mehdi","Journal of Financial and Quantitative Analysis","Scholarly Journals","","56","1","2021-02-01","Feb 2021","65","91","65-91","00221090","","","ENG","We show that the prices of risk for factors that are nonlinear in the market return can be obtained using index option prices. The price of coskewness risk corresponds to the market variance risk premium, and the price of cokurtosis risk corresponds to the market skewness risk premium. Option-based estimates of the prices of risk lead to reasonable values of the associated risk premia. An analysis of factor models with coskewness risk indicates that the new estimates of the price of risk improve the models’ performance compared with regression-based estimates.","https://www.proquest.com/docview/2730669619?accountid=12870&bdid=124553&_bd=acNdMNJaDthLMzeMr8HEzd1DHT4%3D","https://doi.org/10.1017/S002210902000023X"
"U.S. vertically integrated electric utility greenhouse gas emissions and carbon risk premiums around the Paris Accord","","Michelfelder, Richard A; Pilotte, Eugene A. https://orcid.org/0000-0001-6111-1853","Energy Policy","Undefined","Elsevier Ltd","195 p.114346-","","2024-12-01","Dec 2024","","","","0301-4215","0301-4215","","ENG","We study the pricing of greenhouse gas emissions of vertically integrated producers of electricity around the Paris Accord (PA). We study whether emissions are priced by financial markets, providing a market-based incentive for firms to reduce their carbon footprints and if the heightened attention on climate change post-Paris Accord (PA) impacts the size of the “carbon risk premium.” We focus on electricity generators, because they are responsible for the largest share of emissions and emissions reductions in the U.S. and are highly exposed to regulatory, physical, and stranded asset risks. We find the cost of carbon risk is reflected in the returns of vertically integrated electric utilities. The post-PA period provides the strongest evidence that carbon risk is priced. We find that equity markets provide incentives for power producers to reduce emissions, as reductions in emissions are associated with reductions in required returns on equity (increases in equity market values). The challenge for regulators is how to respond in rate cases. Lowering a utility's regulated return to reflect lower market estimates of the return on equity would dilute the market-based incentive for emissions reductions. Adding a longer-term return incentive for continued investment in emissions reductions would reinforce the market incentive.","https://www.proquest.com/docview/3154236243?accountid=12870&bdid=124553&_bd=VWpAIaiZHnHUGpNFiugqWH91how%3D","https://doi.org/10.1016/j.enpol.2024.114346"
"A prediction model for the secure issuance scale of Chinese local government bonds","","Bowen, Jia; Wu, Jiaying; Du, Juan; Ji, Yun; Zhu, Lina","Kybernetes","Scholarly Journals","","50","5","2021-05-30","2021","1125","1143","1125-1143","0368492X","","","ENG","PurposeThe purpose of this paper is to calculate the local guaranteed fiscal revenue with the local fiscal revenue of 31 provinces, and predict their guaranteed fiscal revenue in 2018 with the artificial neural network (ANN).Design/methodology/approachThe principal components analysis (PCA), particle swarm optimization (PSO) and extreme learning machine (ELM) model was designed to produce the inputs of KMV model. Then the KMV model was used for obtaining the default probabilities under different issuance scales. Data were collected from Wind Database. MATLAB 2018b and SPSS 22 were used in the field of modeling and results analysis.FindingsThis study’s findings show that PCA–PSO–ELM proposed in this research has the highest accuracy in terms of the prediction compared with ELM, back propagation neural network and auto regression. And PCA–PSO–ELM–KMV model can calculate the secure issuance scale of local government bonds effectively.Practical implicationsThe sustainability forecast in this study can help local governments effectively control the scale of debt issuance, strengthen the budget management of local debt and establish the corresponding risk warning mechanism, which could make local governments maintain good credit ratings.Originality/valueThis study sheds new light on helping local governments avoid financial risks effectively, and it is conducive to establish a debt repayment reserve system for local governments and the proper arrangement for stock debt.","https://www.proquest.com/docview/2774438354?accountid=12870&bdid=124553&_bd=UvYbUjEfrEGF9xv%2FL7%2FD4zcyKi0%3D","https://doi.org/10.1108/K-10-2019-0699"
"Early Warning of Systemic Financial Risk of Local Government Implicit Debt Based on BP Neural Network Model","","Zhao, Yinglan; Li, Yi; Chen, Feng; Gong, Chi; Gong, Chi; Tan, Hongru","Systems","Scholarly Journals","","10","6","2022-01-01","2022","207","","","20798954","","","ENG","In recent years, local governments have boosted their local economies by raising large amounts of debt. Even though the state further strictly controls local government debt, the hidden debt formed by the local government borrowing in disguised form can infect systemic financial risks, creating an urgent need to carry out risk warning based on local government hidden debt. The paper uses the macro indicators of local government implicit debt risk at the prefecture-level city level, and introduces the micro indicators of PPP projects, financing platform bank debt, and urban investment debt to establish a BP neural network model. We not only study the contagion effect of local government hidden debt on systemic financial risks, but also predict the systemic financial risks in 2019 and construct an early warning risk system based on the prefecture-level city data from 2015 to 2018. In addition, the early warning effect of local government implicit debt on systemic financial risk under different stress scenarios is investigated. The study found that the implicit debt risk of local governments, the scale of financing platform bank debt, the scale of PPP, and the scale of urban investment bonds have a significant impact on systemic financial risks. The neural network model constructed by introducing these four variables at the same time can better predict the level of systemic financial risk. The model can also accurately predict the changes in systemic financial risks under the stress test of the increase in hidden debt of different local governments, and has a good early warning effect.","https://www.proquest.com/docview/2756812567?accountid=12870&bdid=124553&_bd=ooD8Z%2B6GOJJmMA4kesY2F2quQEU%3D","https://doi.org/10.3390/systems10060207"
"Predictability of sugar futures: evidence from the Indian commodity market","","Prabhati Kumari Misra; Goswami, Kishor","Agricultural Finance Review","Scholarly Journals","","75","4","2015-10-01","2015","552","564","552-564","00021466","","","ENG","Purpose – The forecasting power of commodity futures is a matter of intensive research as evidenced by a number of related publications. The purpose of this paper is to illustrate how advanced forecasting techniques improve the predictability of sugar futures in the Indian commodity market. Design/methodology/approach – The forward premium is estimated using ordinary least square regression technique. Different linear and nonlinear models are used to forecast the sugar future spot prices from the futures prices. The forecasting accuracy of each pair of models is then compared by estimating the corresponding Diebold-Mariano test statistics. Findings – From the estimated forward premiums, it is found that there is more volatility toward the date of maturity for a three-month horizon compared to six-month, and 12-month horizons. It is established that the futures prices of sugar, when used in a model, are able to generate better forecasts for the future spot prices. Moreover, the forecasting accuracy is found to be better for a shorter futures horizon. Research limitations/implications – The present study is restricted only to sugar. If sufficient data are available, the same study could be extended to other commodities as well. The findings imply that technical traders would benefit by using advanced forecasting techniques along with futures prices of sugar to determine the expected future spot prices. Practical implications – The findings in this paper suggest that though simple statistical models may be adopted to relate future spot prices to futures prices, more accurate prediction of the price behavior is possible with advanced forecasting methods like the artificial neural network. Social implications – The findings will help market participants such as traders to be better informed about the future spot prices and hence get a better deal. Originality/value – This is one of the first investigations to assess the predictability of commodity futures by employing advanced forecasting techniques.","https://www.proquest.com/docview/2076937378?accountid=12870&bdid=124553&_bd=9QzD8aBFkVd%2BKHaQyHTpKAL7xz8%3D","https://doi.org/10.1108/AFR-02-2014-0002"
"Bond Risk Premiums with Machine Learning","","Bianchi, Daniele; Büchner, Matthias; Tamoni, Andrea","The Review of Financial Studies","Scholarly Journals","","34","2","2021-02-01","Feb 2021","1046","1089","1046-1089","08939454","","","ENG","We show that machine learning methods, in particular, extreme trees and neural networks (NNs), provide strong statistical evidence in favor of bond return predictability. NN forecasts based on macroeconomic and yield information translate into economic gains that are larger than those obtained using yields alone. Interestingly, the nature of unspanned factors changes along the yield curve: stock- and labor-market-related variables are more relevant for short-term maturities, whereas output and income variables matter more for longer maturities. Finally, NN forecasts correlate with proxies for time-varying risk aversion and uncertainty, lending support to models featuring both channels.","https://www.proquest.com/docview/3238286564?accountid=12870&bdid=124553&_bd=eNzGMxw7x2RT6mAjw8%2F1GCqKibk%3D","https://doi.org/10.1093/rfs/hhaa062"
